stadium_id,display_name,roof_type,verified_on,note
ATL97,Mercedes-Benz Stadium,retractable,2026-08-31,"games.parquet leaves roof empty for retractables until after the game, then writes closed/open"
DAL00,AT&T Stadium,retractable,2026-08-31,"roof empty pre-game; 2025 file shows all 8 home games closed"
HOU00,NRG Stadium,retractable,2026-08-31,"2026 file regressed the name to Reliant Stadium, retired in 2014; 2025 file correctly says NRG Stadium"
IND00,Lucas Oil Stadium,retractable,2026-08-31,"roof empty pre-game; 2025 file shows all 9 home games closed"
PHO00,State Farm Stadium,retractable,2026-08-31,"roof empty pre-game; retractable roof and a roll-out grass field"
MEL00,Melbourne Cricket Ground,outdoors,2026-08-31,"feed says dome; the MCG is open-air. Week 1 2026 SF at LA"
PAR00,Stade de France,outdoors,2026-08-31,"feed says dome; Stade de France is open-air. Week 7 2026 PIT at NO"
MUN01,Allianz Arena,outdoors,2026-08-31,"feed says dome and calls it FC Bayern Munich Stadium; the roof covers the stands, the pitch is open. Week 10 2026 NE at DET"
MAD01,Santiago Bernabeu,retractable,2026-08-31,"feed leaves roof empty; the stadium has a retractable roof since the renovation. Week 9 2026 CIN at ATL. CONFIRM the roof state closer to kickoff"
RIO00,Maracana Stadium,outdoors,2026-08-31,"feed leaves roof empty; the Maracana is open-air. Week 3 2026 BAL at DAL"
MEX00,Estadio Azteca,outdoors,2026-08-31,"feed calls it Estadio Banorte, the current sponsor name; open-air, and at ~2240m the altitude is the notable factor, not the roof"
BUF00,Highmark Stadium,outdoors,2026-08-31,"name corrected in the 2026 file; 2025 file still said New Era Field. Keyed on stadium_id so the drift does not matter"
CLE00,Huntington Bank Field,outdoors,2026-08-31,"2025 file said FirstEnergy Stadium"
JAX00,EverBank Stadium,outdoors,2026-08-31,"2025 file said TIAA Bank Stadium"
NOR00,Caesars Superdome,dome,2026-08-31,"2025 file said Mercedes-Benz Superdome; fixed roof, not retractable"
WAS00,Northwest Stadium,outdoors,2026-08-31,"2025 file said FedExField"
